SONG,ARTIST,NOTATION,MUST BE IN MEDLEY?,GENRE
A Thousand Miles,Vanessa Carlton,1000,No,Pop
3am,Matchbox 20,3AM,No,Rock
What's My Age Again,Blink 182,AGE,No,Alternative
If I Ain't Got You,Alicia Keys,ALICIA,No,R&B
All These Things That I've Done,The Killers,ALL,No,Alternative
The Anthem,Good Charlotte,ANTHEM,No,Alternative
Before He Cheats,Carrie Underwood,B4 CHEATS,No,Country
Baby,Justin Bieber,BABY,Yes,Pop
Believe,Cher,BABY,Yes,Pop
Dancing in the Moonlight,Jubel,BABY,Yes,Pop
Trap Queen,Fetty Wap,BABY,Yes,Hip Hop
Brown Eyed Girl,Van Morrison,BABY,Yes,Classic Rock
Sex on Fire,Kings of Leon,BABY,Yes,Alternative
Dog Days,Florence and the Machine,BABY,Yes,Alternative
Basketcase,Green Day,BASKET,No,Alternative
Blinding Lights,The Weeknd,BLINDING,No,Pop
All the Small Things,Blink 182,BLINK,No,Alternative
Blister in the Sun,Violent Femmes,BLISTER,No,Classic Rock
Body,Loud Luxury,BODY,Yes,Club
Pursuit of Happiness,Kid Cudi,BODY,Yes,Club
Shots,LMFAO,BODY,Yes,Club
PYT,Michael Jackson,BODY,Yes,80s
Fergalicious,Fergie,BODY,Yes,Pop
SexyBack,Justin Timberlake,BODY,Yes,Pop
The Time (Dirty bit),The Black Eyed Peas,BODY,Yes,Pop
Seven Nation Army,The White Stripes,BODY,Yes,Rock
Bad Guy,Billie Eilish,BODY,Yes,Pop
Hotel Room Service,Pitbull,BODY,Yes,Club
Under The Bridge,Red Hot Chili Peppers,BRIDGE,No,90s
Mr. Brightside,The Killers,BRITE,No,Alternative
I Want It That Way,Backstreet Boys,BSB,No,Pop
Have You Ever Seen the Rain,Creedence Clearwater Revival,CCR,No,Classic Rock
Cheap Thrills,Sia,CHEAP,Yes,Pop
Closer,Chainsmokers,CHEAP,Yes,Pop
No Diggity,Blackstreet,CHEAP,Yes,Hip Hop
Wonderwall,Oasis,CHEAP,Yes,Alternative
It Wasn't Me,Shaggy ft. Rikrok,CHEAP,Yes,R&B
Killing Me Softly With His Song,Fugees,CHEAP,Yes,R&B
Chicken Fried,Zack Brown Band,CHICKEN,No,Country
Circles,Post Malone,CIRCLES,No,Pop
Country Roads,John Denver,CNTRY RDS,No,Country
Come Together,The Beatles,COME 2G,No,Classic Rock
Complicated,Avril Lavigne,COMP,No,Pop
Country Girl,Luke Bryan,COUNTRY GRL,No,Country
Dancing Queen,Abba,DANCING QUEEN,Yes,Wedding
Celebration,"Earth, Wind, and Fire",DANCING QUEEN,Yes,Wedding
Girls Just Wanna Have Fun,Cyndi Lauper,DANCING QUEEN,Yes,Wedding
YMCA,Village People,DANCING QUEEN,Yes,Wedding
Umbrella,Rihanna,DANCING QUEEN,Yes,Pop
Lose Yourself,Eminem,DANCING QUEEN,Yes,Hip Hop
In Da Club,50 Cent,DANCING QUEEN,Yes,Hip Hop
Say Aah,Trey Songz,DANCING QUEEN,Yes,Hip Hop
679,Fetty Wap,DANCING QUEEN,Yes,Hip Hop
Unwritten,Natasha Bedingfield,DANCING QUEEN,Yes,Pop
Teenage Dirtbag,Wheatus,DIRT,No,Alternative
Dirty Little Secret,The All-American Rejects,DLS,No,Alternative
Dynamite,Taio Cruz,DYNAMITE,Yes,Pop
Time Of Our Lives,Pitbull ft. Ne-Yo,DYNAMITE,Yes,Club
Move Ya Body,Nina Sky,DYNAMITE,Yes,R&B
I Wanna Dance with Somebody,Whitney Houston,DYNAMITE,Yes,80s
Faith,George Michael,FAITH,No,80s
I Gotta Feeling,The Black Eyes Peas,FEEL,Yes,Pop
Glad You Came,The Wanted,FEEL,Yes,Pop
Give Me Everything,"Pitbull ft. Ne-Yo, Afrojack, Nayer",FEEL,Yes,Club
Everytime We Touch,Cascada,FEEL,Yes,Club
Sugar We're Going Down,Fall Out Boy,FOB,No,Alternative
Free Fallin,Tom Petty,FREE,No,Classic Rock
Good As Hell,Lizzo,GOOD,Yes,Pop
Get Busy,Sean Paul,GOOD,Yes,Club
Wow,Post Malone,GOOD,Yes,Hip Hop
Single Ladies (Put a Ring on It),Beyonce,GOOD,Yes,Pop
Yeah!,Usher,GOOD,Yes,Club
Hips Don't Lie,Shakira,GOOD,Yes,Pop
Macarena,Los Del Rio,GOOD,Yes,90s
Wannabe,Spice Girls,GOOD,Yes,90s
Jump Around,House of Pain,GOOD,Yes,Hip Hop
Hand In My Pocket,Alanis Morissette,HAND,No,90s
Higher,Creed,HIGHER,No,Rock
Ho Hey,Lumineers,HO HEY,No,Pop
My House,Flo Rida,HOUSE,Yes,Pop
Roses,Chainsmokers,HOUSE,Yes,Pop
I Took a Pill in Ibiza,Mike Posner,HOUSE,Yes,Pop
Lean On,Major Lazer and DJ Snake,HOUSE,Yes,Club
Best Day,American Authors,HOUSE,Yes,Pop
Ain't it Fun,Paramore,HOUSE,Yes,Alternative
Sorry,Justin Bieber,HOUSE,Yes,Pop
One Dance,Drake,HOUSE,Yes,Pop
I Love It,Icona Pop,ICONA,Yes,Pop
Shut Up and Dance,Walk the Moon,ICONA,Yes,Pop
Die Young,Ke$ha,ICONA,Yes,Pop
What Do You Mean,Justin Bieber,ICONA,Yes,Pop
Stay the Night,Zedd Ft. Hayley Williams,ICONA,Yes,Pop
Ironic,Alanis Morissette,IRONIC,No,90s
Island in the Sun,Weezer,ISLAND,No,Alternative
Hey Jealousy,Gin Blossoms,JEALOUSY,No,90s
The Joker,Steve Miller Band,JOKER,No,Classic Rock
Mr. Jones,Counting Crows,JONES,No,90s
Jumper,Third Eye Blind,JUMPER,No,90s
Laid,James,LAID,No,90s
Landslide,Fleetwood Mac,LAND,No,Classic Rock
In The End,Linkin Park,LINKIN,No,Alternative
Livin On a Prayer,Jon Bon Jovi,LIVIN,Yes,80s
You Shook Me All Night Long,AC/DC,LIVIN,Yes,Classic Rock
Jessie's Girl,Rick Springfield,LIVIN,Yes,80s
Sweet Child o' Mine,Guns N' Roses,LIVIN,Yes,80s
